,price,propertyType,operation,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace
0,750.0,flat,rent,60.0,True,1,1,Madrid,Madrid,7037,good,False,3,Hortaleza,True,desconocido
1,750.0,flat,rent,70.0,True,2,1,Madrid,San Sebastián de los Reyes,16145,good,False,bj,Centro Urbano,False,desconocido
2,400.0,penthouse,rent,67.0,True,2,2,Madrid,Villamanrique de Tajo,55041,good,False,2,desconocido,False,desconocido
3,590.0,flat,rent,70.0,True,3,2,Madrid,Rascafría,56596,good,False,desconocido,desconocido,False,desconocido
4,684.0,studio,rent,45.0,True,0,1,Madrid,Madrid,10656,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
5,600.0,flat,rent,73.0,True,2,1,Madrid,Manzanares el Real,37062,good,False,3,desconocido,False,desconocido
6,600.0,duplex,rent,71.0,True,1,1,Madrid,Miraflores de la Sierra,44126,good,False,1,desconocido,False,desconocido
7,550.0,flat,rent,53.0,True,1,1,Madrid,Madrid,4008,good,False,1,Puente de Vallecas,False,desconocido
8,700.0,studio,rent,28.0,True,0,1,Madrid,Madrid,5569,good,False,1,Ciudad Lineal,False,desconocido
9,700.0,duplex,rent,86.0,True,2,1,Madrid,Galapagar,31153,good,False,3,Casco Antiguo,True,desconocido
10,700.0,flat,rent,45.0,False,1,1,Madrid,Madrid,2046,good,False,5,Moncloa,False,desconocido
11,550.0,flat,rent,54.0,True,2,1,Madrid,Arganda,26233,good,False,en,Centro,False,desconocido
12,695.0,flat,rent,64.0,True,2,1,Madrid,San Sebastián de los Reyes,15747,good,False,1,Centro Urbano,False,desconocido
13,650.0,flat,rent,68.0,True,2,1,Madrid,San Lorenzo de el Escorial,42410,good,False,bj,Centro - Casco Histórico,False,desconocido
14,700.0,flat,rent,30.0,False,1,1,Madrid,Madrid,3247,good,False,1,Retiro,True,desconocido
15,700.0,flat,rent,35.0,False,1,1,Madrid,Madrid,1894,good,False,1,Arganzuela,False,desconocido
16,700.0,flat,rent,43.0,True,1,1,Madrid,Madrid,4442,good,False,2,Latina,True,desconocido
17,650.0,flat,rent,60.0,True,2,1,Madrid,Madrid,3985,good,False,1,Puente de Vallecas,False,desconocido
18,650.0,chalet,rent,206.0,False,3,1,Madrid,Aldea del Fresno,43195,good,False,desconocido,desconocido,desconocido,desconocido
19,700.0,flat,rent,105.0,True,3,2,Madrid,Aranjuez,44003,good,False,bj,Centro,False,desconocido
20,695.0,flat,rent,40.0,False,1,1,Madrid,Madrid,2271,good,False,4,Barrio de Salamanca,True,desconocido
