,price,propertyType,operation,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000,outliers_lof_0.01_20,outliers_lof_0.01_35,outliers_lof_0.01_50,outliers_lof_0.05_20,outliers_lof_0.05_35,outliers_lof_0.05_50,outliers_lof_0.1_20,outliers_lof_0.1_35,outliers_lof_0.1_50
0,750.0,flat,rent,60.0,True,1,1,Madrid,Madrid,7037.0,good,False,3,Hortaleza,True,desconocido,0.2150537634408602,0.121496818109301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,750.0,flat,rent,70.0,True,2,1,Madrid,San Sebastián de los Reyes,16145.0,good,False,bj,Centro Urbano,False,desconocido,0.2688172043010753,0.2829489656639427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,400.0,penthouse,rent,67.0,True,2,2,Madrid,Villamanrique de Tajo,55041.0,good,False,2,desconocido,False,desconocido,0.2526881720430107,0.9724354315494655,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
3,590.0,flat,rent,70.0,True,3,2,Madrid,Rascafría,56596.0,good,False,desconocido,desconocido,False,desconocido,0.2688172043010753,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,684.0,studio,rent,45.0,True,0,1,Madrid,Madrid,10656.0,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,0.1344086021505376,0.1856486979951429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
5,600.0,flat,rent,73.0,True,2,1,Madrid,Manzanares el Real,37062.0,good,False,3,desconocido,False,desconocido,0.2849462365591398,0.6537322957474342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,600.0,duplex,rent,71.0,True,1,1,Madrid,Miraflores de la Sierra,44126.0,good,False,1,desconocido,False,desconocido,0.2741935483870968,0.7789516600783508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,550.0,flat,rent,53.0,True,1,1,Madrid,Madrid,4008.0,good,False,1,Puente de Vallecas,False,desconocido,0.1774193548387097,0.067803520465141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,700.0,studio,rent,28.0,True,0,1,Madrid,Madrid,5569.0,good,False,1,Ciudad Lineal,False,desconocido,0.043010752688172,0.0954744473791501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,700.0,duplex,rent,86.0,True,2,1,Madrid,Galapagar,31153.0,good,False,3,Casco Antiguo,True,desconocido,0.3548387096774194,0.5489869356354032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,700.0,flat,rent,45.0,False,1,1,Madrid,Madrid,2046.0,good,False,5,Moncloa,False,desconocido,0.1344086021505376,0.0330243029089039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,550.0,flat,rent,54.0,True,2,1,Madrid,Arganda,26233.0,good,False,en,Centro,False,desconocido,0.1827956989247312,0.4617729955861238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,695.0,flat,rent,64.0,True,2,1,Madrid,San Sebastián de los Reyes,15747.0,good,False,1,Centro Urbano,False,desconocido,0.2365591397849462,0.2758938542534522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
